,de_best_one_alg,de_rand_one_alg,pso_alg,soma_all_to_all_alg,soma_all_to_one_alg
ackley,3,2,1,4,5
sphere,2,1,1,3,4
rosenbrock,3,2,1,4,5
griewank,2,1,1,3,4
michalewicz,4,1,2,3,5
rastrigin,3,2,1,4,5
schwefel,5,4,3,1,2
multimodal_polynomial_mixture,3,2,1,4,5
zakharov,3,2,1,4,5
styblinski_tang,3,1,2,4,5
multimodal_sine_cosine_mixture,2,1,1,3,4
easom,4,2,1,3,5
schaffer_n2,2,1,1,3,4
schaffer_n4,5,4,1,2,3
six_hump_camel,2,1,1,3,4
schwefel_problem_2_21,5,4,3,1,2
rotated_hyper_ellipsoid,3,2,1,4,5
generalized_penalized_1,3,2,1,4,5
generalized_penalized_2,3,2,1,4,5
happy_cat,3,2,1,4,5
xin_she_yang__fnc,3,2,1,4,5
alpine_function,3,2,1,4,5
quartic_function,3,2,1,4,5
sum_of_different_powers,3,2,1,4,5
salomon_function,3,2,1,4,5
Sum,78,49,31,85,112
